Name,Test,,,,,,,,
Year,2006,2007,2008,2009,2010,2011,2012,2013,2014
Catch,48.92,64.01,81.5,68.16,42.78,42.11,31.69,16.83,13.78
Abundance index,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duration t,9,,,,,,,,
Average catch over time t,42.4,,,,,,,,
Depletion over time t,0.15,,,,,,,,
M,0.13,,,,,,,,
FMSY/M,0.922,,,,,,,,
BMSY/B0,0.353,,,,,,,,
MSY,NA,,,,,,,,
BMSY,NA,,,,,,,,
Length at 50% maturity,22.77,,,,,,,,
Length at 95% maturity,35,,,,,,,,
Length at first capture,23.85,,,,,,,,
Length at full selection,27.73,,,,,,,,
CAA 2008,NA,,,,,,,,
Current stock depletion,NA,,,,,,,,
Current stock abundance,NA,,,,,,,,
Von Bertalanffy K parameter,0.15,,,,,,,,
Von Bertalanffy Linf parameter,62,,,,,,,,
Von Bertalanffy t0 parameter,-0.66,,,,,,,,
Length-weight parameter a,0.0173,,,,,,,,
Length-weight parameter b,2.9168,,,,,,,,
Steepness,0.6,,,,,,,,
Maximum age,19,,,,,,,,
CV Catch,0.1,,,,,,,,
CV Depletion over time t,0.1,,,,,,,,
CV Average catch over time t,0.1,,,,,,,,
CV Abundance index,0.1,,,,,,,,
CV M,0.1,,,,,,,,
CV FMSY/M,0.092,,,,,,,,
CV BMSY/B0,0.114,,,,,,,,
CV current stock depletion,0.1,,,,,,,,
CV current stock abundance,0.1,,,,,,,,
CV von B. K parameter,0.1,,,,,,,,
CV von B. Linf parameter,0.1,,,,,,,,
CV von B. t0 parameter,0.1,,,,,,,,
CV Length at 50% maturity,0.1,,,,,,,,
CV Length at first capture,0.1,,,,,,,,
CV Length at full selection,0.1,,,,,,,,
CV Length-weight parameter a,0.1,,,,,,,,
CV Length-weight parameter b,0.1,,,,,,,,
CV Steepness,0.1,,,,,,,,
Sigma length composition,0.1,,,,,,,,
Units,tonnes,,,,,,,,
Reference OFL,NA,,,,,,,,
Reference OFL type,NA,,,,,,,,
CAL_bins,NA,,,,,,,,
MPrec,NA,,,,,,,,
LHYear,2014,,,,,,,,
